"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17403268",4.94672993326168,9.8435255177105,48.3029826430174,8.57085625764425e-17,5.13479998395467e-13,28.4860083530939
"17491193",6.80770181046352,10.0218987151629,42.1132089455057,5.62011242888708e-16,1.68350467807313e-12,26.8396819091668
"17352036",3.92728546460045,7.58127862557389,39.548750441339,1.32865261526554e-15,2.2613219267276e-12,26.0606282982735
"17391554",6.91874385662273,8.98810877966128,38.9412225966209,1.64219938334102e-15,2.2613219267276e-12,25.8665329210047
"17500716",3.75366226716353,8.07818942833193,38.5473813561076,1.88726583769621e-15,2.2613219267276e-12,25.7386451343544
"17302475",6.4058772992426,10.3954508905405,37.3924728955805,2.86110241006641e-15,2.85681075645131e-12,25.353944345329
"17230111",4.45990430865583,8.7219078323854,35.3099764390357,6.26130285162003e-15,4.88679011884125e-12,24.621523096717
"17435725",6.43065297271985,7.83947572657078,35.2032939768958,6.52550842108663e-15,4.88679011884125e-12,24.5825834068691
"17254059",3.3212209316877,8.21792536495447,34.2502832563867,9.49217831471069e-15,6.31862669815908e-12,24.2282529923609
"17403205",4.73336102362316,7.79392162153938,33.0708664723081,1.53118724008346e-14,8.8201485162131e-12,23.7729601410179
"17403224",4.23328877133013,9.38685427242118,32.7875742809479,1.72181137395961e-14,8.8201485162131e-12,23.6607120913741
"17438995",3.7928276829292,9.01575039498132,32.7257806193685,1.76667972282686e-14,8.8201485162131e-12,23.636074947651
"17266946",5.58664220539076,10.478283232496,32.228896185133,2.17645609778651e-14,1.00301142167992e-11,23.4359461991891
"17449725",4.84368513713228,8.34317726250935,30.4993568813252,4.61379677843828e-14,1.97437546425884e-11,22.7100602512835
"17452705",2.6012798429561,7.72254334667823,29.5204992212661,7.19135779358954e-14,2.5878377943874e-11,22.277775250132
"17330967",2.94073481225039,8.21706576124782,29.5033646625264,7.24836348984282e-14,2.5878377943874e-11,22.2700624871521
"17253707",5.31243992948795,8.21544008746909,29.4751700030844,7.3432219169731e-14,2.5878377943874e-11,22.257360106806
"17218060",5.59602510623832,10.2876696209053,29.1981609056167,8.3492053589523e-14,2.77889385030462e-11,22.1318186428393
"17302141",2.6196542396642,8.55368780087818,28.485864491098,1.16791675213149e-13,3.68262592737881e-11,21.8026858471997
"17346528",3.30338586123844,9.87755061474997,28.0494337814635,1.44038818789496e-13,4.31468281683936e-11,21.5963922131119
"17403237",4.12253265474761,9.23657391593921,27.2905844346388,2.08996419652325e-13,5.96236928636704e-11,21.2289707521985
"17450448",3.0300664880155,8.06975910832816,26.8459893500409,2.61144984790225e-13,7.11145274490109e-11,21.008371835768
"17504138",4.23489960400216,6.86410433753869,26.5952370444355,2.96571178833161e-13,7.72503448864986e-11,20.8821590238231
"17226327",4.14032821699972,8.71676550546911,26.390265073455,3.29354775262734e-13,8.22151857749601e-11,20.7780081173464
"17411159",3.72658256989733,8.37199109467781,25.9384851845979,4.16143499274974e-13,9.97246281662548e-11,20.545267709233
"17383892",3.21080759764144,9.73208442858745,25.6187620551537,4.92226061823318e-13,1.13420243707058e-10,20.3778539634239
"17395079",3.12296962496956,8.09330547181067,25.3266921140148,5.74841198032869e-13,1.27550874719071e-10,20.2229123849004
"17254047",4.63246582972283,9.40083817224169,25.0526306472745,6.65976266405668e-13,1.42495136144156e-10,20.0757444605032
"17249977",2.73928653136362,6.79947556408093,24.9604276610396,7.0002145779257e-13,1.44614777711562e-10,20.0258390569692
"17344309",2.38495164077439,11.2637302676274,24.3434968092305,9.81733426558481e-13,1.95645383101234e-10,19.6867034535008
"17272619",3.29502814729981,7.53162411101504,24.2882025290525,1.01235300886968e-12,1.95645383101234e-10,19.6558558088605
"17281219",2.223066232346,10.333654828669,24.1215628906648,1.11097997449919e-12,2.0799628210077e-10,19.5624321150861
"17384355",2.59694755030345,7.38416561511764,24.0501648735598,1.15634282023753e-12,2.08217831244903e-10,19.5221917755011
"17497813",2.86524523289768,10.1352803252709,23.935028500182,1.23372511560558e-12,2.08217831244903e-10,19.4570296853139
"17396383",3.5539113243968,6.94422749871396,23.9278189410676,1.23875166837009e-12,2.08217831244903e-10,19.4529382289126
"17305757",-2.26517630856289,7.19363558877096,-23.9101213643014,1.25118376311409e-12,2.08217831244903e-10,19.4428891775722
"17328432",-2.16751456552234,8.15779929001233,-23.8511737774643,1.29356589326709e-12,2.09452790988193e-10,19.4093600072799
"17531705",3.11347581280837,8.90013169262234,23.7196927046063,1.39373862122957e-12,2.17007502085906e-10,19.334253715412
"17254176",2.97458919730092,10.0346802725504,23.6959865207568,1.4126677652062e-12,2.17007502085906e-10,19.3206646467743
"17245399",2.06747190947893,9.69429966849766,23.6044687049453,1.488367617712e-12,2.22920259942814e-10,19.2680675184685
