"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17352036",3.7845266704633,7.58127862557389,38.1111335495882,2.20524425159165e-15,1.32116183112855e-11,25.2696302869658
"17491193",5.69755138044094,10.0218987151629,35.2456935457234,6.41909981510993e-15,1.69938184069614e-11,24.3403014257113
"17302475",5.82483058324691,10.3954508905405,34.0007792111723,1.04883520068282e-14,1.69938184069614e-11,23.9044690725986
"17500716",3.27705700564724,8.07818942833193,33.6529919666545,1.20682189112819e-14,1.69938184069614e-11,23.7789594181165
"17403268",3.40587414321908,9.8435255177105,33.2570974853562,1.41827895234196e-14,1.69938184069614e-11,23.6340212884526
"17438995",3.72887669995879,9.01575039498132,32.173990236562,2.22763412028119e-14,2.22429266910077e-11,23.2258562428665
"17391554",5.42213264946618,8.98810877966128,30.5177469822296,4.57609476035113e-14,3.91648338703766e-11,22.5667275699734
"17330967",2.93080811349498,8.21706576124782,29.4037735630312,7.5894283701345e-14,5.68353317068448e-11,22.0977617112376
"17452705",2.54898018609369,7.72254334667823,28.926979080071,9.47829133640742e-14,6.30938259960187e-11,21.8903152507164
"17226327",4.3266650292564,8.71676550546911,27.5779674996071,1.81305780861798e-13,1.08620293314303e-10,21.2801746487172
"17218060",5.12692310122319,10.2876696209053,26.75054575673,2.74063685115126e-13,1.49265048865884e-10,20.8879875271954
"17245399",2.15383442172586,9.69429966849766,24.590475435323,8.5658017620296e-13,4.27647652969328e-10,19.7932820274613
"17435725",4.24117057825401,7.83947572657078,23.2174205801202,1.86004804848656e-12,8.57195989114076e-10,19.0384591371974
"17344309",2.24796951437958,11.2637302676274,22.9453032778384,2.18029685451449e-12,8.97360216801442e-10,18.8829048584213
"17281219",2.10995138976857,10.333654828669,22.8942009932103,2.24677069805068e-12,8.97360216801442e-10,18.8534631577345
"17406279",1.88376084045061,8.69198356684073,22.7003476046862,2.51936026632302e-12,9.4073030593276e-10,18.741109698229
"17272619",3.06640826599736,7.53162411101504,22.6030072193274,2.66940664344132e-12,9.4073030593276e-10,18.6842908455883
"17383892",2.79215811866345,9.73208442858745,22.278393297359,3.24302565312626e-12,1.06494106956429e-09,18.4928340070867
"17435055",1.97019023664435,8.19674505156039,22.21125703052,3.37737945613778e-12,1.06494106956429e-09,18.452852971083
"17266946",3.80102253882687,10.478283232496,21.9277978251398,4.01398561636307e-12,1.20238939138156e-09,18.282569728024
"17396638",2.09560210747511,7.96892561214861,21.8259472029087,4.27314349456118e-12,1.21906679409124e-09,18.2207943043941
"17391565",7.05591098943627,10.4157942117245,21.6746128344281,4.69183822672826e-12,1.2278619188613e-09,18.1284208308111
"17346528",2.5478353243475,9.87755061474997,21.6339662450351,4.81163000501368e-12,1.2278619188613e-09,18.1034904145423
"17337228",2.43009790525116,9.09368064676284,21.5985015800333,4.91882591431667e-12,1.2278619188613e-09,18.0816965433878
"17384355",2.25254516942392,7.38416561511764,20.8606764905421,7.8413031148077e-12,1.87908987843252e-09,17.6192603987967
"17254059",1.96545554395986,8.21792536495447,20.2688741559427,1.15285377938005e-11,2.6564411508715e-09,17.2354223020209
"17414536",1.86222810168327,10.1812492770866,20.159677337997,1.23925551255103e-11,2.72660420687086e-09,17.1632900590474
"17356743",1.68414103885743,9.07751846287981,20.1176589554821,1.27432678671981e-11,2.72660420687086e-09,17.1354230711111
"17403224",2.53429919578274,9.38685427242118,19.6285979105943,1.77059923325389e-11,3.65781379531864e-09,16.8064574600854
"17361850",2.35299716783846,7.40803563460528,19.5378210923628,1.8836466430629e-11,3.7616423461966e-09,16.7444444058285
"17218328",-1.95448085975311,7.41189953685571,-19.4762100433538,1.96475840658952e-11,3.79705406899284e-09,16.7021825537405
"17298041",1.66601371032517,8.33507671921608,19.1976679192738,2.38104682848111e-11,4.45776610919698e-09,16.5093494166515
"17250249",1.67649200747535,9.09549995922388,19.0948399373271,2.55778322888259e-11,4.57740316092437e-09,16.4374207124878
"17454166",1.79727867963575,10.1631078246131,19.0430922304327,2.65198843878715e-11,4.57740316092437e-09,16.4010697405481
"17429933",2.54299207681424,8.11901542274971,19.0311974110953,2.67416308850531e-11,4.57740316092437e-09,16.3926994729613
"17333347",2.1553587546432,11.460731670249,18.9292474913725,2.87256140533989e-11,4.7804209387198e-09,16.3207338434574
