"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-68962","Activation of the pre-replicative complex","13/262","30/8772",8.53012265508308e-13,4.89629040401769e-10,3.80712842711077e-10,"Mcm4/Cdc6/Mcm3/Mcm7/Mcm5/Pole/Pole2/Mcm6/Gmnn/Mcm2/Prim2/Cdk2/Rpa1",13
"R-MMU-453279","Mitotic G1-G1/S phases","22/262","126/8772",1.5116410318668e-11,3.32685590989927e-09,2.58680892315659e-09,"Mcm4/Cdc6/Mcm3/Mcm7/Ccne2/Jak2/Mcm5/Psmb10/Pole/Rb1/Pole2/Mcm6/Gmnn/Mcm2/Prim2/Wee1/Cdkn1a/Cdk2/Psmb8/Rbl2/Rpa1/Psmd10",22
"R-MMU-69206","G1/S Transition","20/262","103/8772",1.73877486580101e-11,3.32685590989927e-09,2.58680892315659e-09,"Mcm4/Cdc6/Mcm3/Mcm7/Ccne2/Mcm5/Psmb10/Pole/Rb1/Pole2/Mcm6/Gmnn/Mcm2/Prim2/Wee1/Cdkn1a/Cdk2/Psmb8/Rpa1/Psmd10",20
"R-MMU-69242","S Phase","22/262","142/8772",1.72390852907374e-10,2.47380873922082e-08,1.92351899033492e-08,"Mcm4/Cdc6/Mcm3/Mcm7/Ccne2/Lig1/Mcm5/Psmb10/Pole/Rb1/Esco2/Pole2/Mcm6/Gins2/Mcm2/Prim2/Wee1/Cdkn1a/Cdk2/Psmb8/Rpa1/Psmd10",22
"R-MMU-69002","DNA Replication Pre-Initiation","16/262","82/8772",1.81326516283675e-09,2.08162840693659e-07,1.61857774535323e-07,"Mcm4/Cdc6/Mcm3/Mcm7/Mcm5/Psmb10/Pole/Pole2/Mcm6/Gmnn/Mcm2/Prim2/Cdk2/Psmb8/Rpa1/Psmd10",16
"R-MMU-69481","G2/M Checkpoints","22/262","163/8772",2.575656431863e-09,2.46404465314894e-07,1.91592688966651e-07,"Mcm4/Cdc6/Mcm3/Mcm7/Topbp1/Mcm5/Psmb10/H4f16/Mcm6/Brip1/Brca1/Mcm2/Pkmyt1/Exo1/Wee1/Clspn/Cdk2/H2bc12/Chek2/Psmb8/Rpa1/Psmd10",22
"R-MMU-69306","DNA Replication","19/262","123/8772",3.34313394703561e-09,2.7413698365692e-07,2.13156209555353e-07,"Mcm4/Cdc6/Mcm3/Mcm7/Ccne2/Lig1/Mcm5/Psmb10/Pole/Pole2/Mcm6/Gmnn/Gins2/Mcm2/Prim2/Cdk2/Psmb8/Rpa1/Psmd10",19
"R-MMU-69239","Synthesis of DNA","18/262","115/8772",7.07406537440179e-09,5.07564190613328e-07,3.94658384045574e-07,"Mcm4/Cdc6/Mcm3/Mcm7/Ccne2/Lig1/Mcm5/Psmb10/Pole/Pole2/Mcm6/Gins2/Mcm2/Prim2/Cdk2/Psmb8/Rpa1/Psmd10",18
"R-MMU-69278","Cell Cycle, Mitotic","39/262","499/8772",2.42120825685147e-08,1.54419282159194e-06,1.20069274959652e-06,"Mcm4/Cdc6/Mcm3/Mcm7/Ccne2/Jak2/Lig1/H2ac11/Mcm5/Ncapg2/Psmb10/Pole/H4f16/Cenpn/Rb1/Esco2/Pole2/Mcm6/Lpin1/Gmnn/Gins2/Mcm2/Pkmyt1/Prim2/Wee1/H2afv/Tubgcp2/Cdkn1a/Cdk2/H2bc12/Ncapd3/Psmb8/Rbl2/Rpa1/Nuf2/Cenpm/Kif23/Psmd10/Haus4",39
"R-MMU-176187","Activation of ATR in response to replication stress","10/262","34/8772",3.31665513612155e-08,1.90376004813377e-06,1.48027555549004e-06,"Mcm4/Cdc6/Mcm3/Mcm7/Mcm5/Mcm6/Mcm2/Clspn/Cdk2/Rpa1",10
"R-MMU-449147","Signaling by Interleukins","26/262","262/8772",6.41744875229736e-08,3.06060066892503e-06,2.37978119131527e-06,"Il1a/Il6/Socs3/Nfkbia/Irak3/Il1rn/Il1b/Hck/Il1rl1/Csf1/Csf3/Jak2/Osm/Psmb10/Il4ra/Rps6ka5/Il23r/Il15/Map3k8/Il13ra1/Nfkb1/Socs1/Ripk2/Irak2/Psmb8/Psmd10",26
"R-MMU-380108","Chemokine receptors bind chemokines","12/262","56/8772",6.79455757801131e-08,3.06060066892503e-06,2.37978119131527e-06,"Ccl12/Cxcl2/Ccl5/Cxcl11/Ccl17/Ccl7/Ccrl2/Cxcl10/Cxcr4/Ccl3/Cxcr3/Ccl22",12
"R-MMU-69620","Cell Cycle Checkpoints","27/262","281/8772",6.93167398885461e-08,3.06060066892503e-06,2.37978119131527e-06,"Mcm4/Cdc6/Mcm3/Mcm7/Ccne2/Topbp1/Mcm5/Psmb10/H4f16/Cenpn/Mcm6/Brip1/Brca1/Mcm2/Pkmyt1/Exo1/Wee1/Cdkn1a/Clspn/Cdk2/H2bc12/Chek2/Psmb8/Rpa1/Nuf2/Cenpm/Psmd10",27
"R-MMU-913531","Interferon Signaling","11/262","64/8772",2.49960798746736e-06,0.000102483927486162,7.96867508786587e-05,"Socs3/Oasl1/Uba7/Isg15/Rnasel/Jak2/Ddx58/Ube2l6/Mx2/Usp18/Socs1",11
"R-MMU-1169410","Antiviral mechanism by IFN-stimulated genes","8/262","32/8772",3.2122800480259e-06,0.000122923249837791,9.55794203763495e-05,"Oasl1/Uba7/Isg15/Rnasel/Ddx58/Ube2l6/Mx2/Usp18",8
"R-MMU-68867","Assembly of the pre-replicative complex","11/262","67/8772",3.99011140248865e-06,0.00014314524656428,0.000111303107543104,"Mcm4/Cdc6/Mcm3/Mcm7/Mcm5/Psmb10/Mcm6/Gmnn/Mcm2/Psmb8/Psmd10",11
