"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-68962","Activation of the pre-replicative complex","13/280","30/8772",1.99621642948267e-12,1.18375634268322e-09,9.6448772750794e-10,"Mcm4/Cdc6/Mcm7/Mcm3/Mcm5/Pole2/Pole/Gmnn/Mcm2/Mcm6/Prim2/Cdk2/Rpa1",13
"R-MMU-453279","Mitotic G1-G1/S phases","22/280","126/8772",5.61038947887901e-11,1.66348048048763e-08,1.35535198463446e-08,"Mcm4/Cdc6/Jak2/Mcm7/Mcm3/Ccne2/Mcm5/Psmb10/Pole2/Pole/Gmnn/Rb1/Mcm2/Mcm6/Prim2/Cdk2/Cdkn1a/Rpa1/Wee1/E2f1/Psmb8/Rbl2",22
"R-MMU-69206","G1/S Transition","19/280","103/8772",4.5184360226978e-10,8.93144187153265e-08,7.27706012076593e-08,"Mcm4/Cdc6/Mcm7/Mcm3/Ccne2/Mcm5/Psmb10/Pole2/Pole/Gmnn/Rb1/Mcm2/Mcm6/Prim2/Cdk2/Cdkn1a/Rpa1/Wee1/Psmb8",19
"R-MMU-69242","S Phase","21/280","142/8772",3.68081678056153e-09,5.45681087718246e-07,4.44603921652037e-07,"Mcm4/Cdc6/Mcm7/Mcm3/Ccne2/Mcm5/Psmb10/Lig1/Pole2/Esco2/Pole/Rb1/Gins2/Mcm2/Mcm6/Prim2/Cdk2/Cdkn1a/Rpa1/Wee1/Psmb8",21
"R-MMU-69002","DNA Replication Pre-Initiation","16/280","82/8772",4.74956759570524e-09,5.63298716850642e-07,4.58958216090254e-07,"Mcm4/Cdc6/Mcm7/Mcm3/Mcm5/Psmb10/Pole2/Pole/Gmnn/Mcm2/Mcm6/Prim2/Cdk2/Rpa1/E2f1/Psmb8",16
"R-MMU-69306","DNA Replication","19/280","123/8772",1.00247387416479e-08,9.90778345632872e-07,8.07255277616914e-07,"Mcm4/Cdc6/Mcm7/Mcm3/Ccne2/Mcm5/Psmb10/Lig1/Pole2/Pole/Gmnn/Gins2/Mcm2/Mcm6/Prim2/Cdk2/Rpa1/E2f1/Psmb8",19
"R-MMU-380108","Chemokine receptors bind chemokines","13/280","56/8772",1.49491574485905e-08,1.26640719528773e-06,1.03182906299294e-06,"Ccl12/Cxcl11/Cxcl2/Ccl5/Ccl7/Ccl17/Ccrl2/Cxcl10/Cxcr4/Ccl3/Cxcr3/Ccl22/Ccl4",13
"R-MMU-176187","Activation of ATR in response to replication stress","10/280","34/8772",6.2267427642262e-08,4.61557307398267e-06,3.76062490628924e-06,"Mcm4/Cdc6/Mcm7/Mcm3/Mcm5/Mcm2/Mcm6/Cdk2/Rpa1/Clspn",10
"R-MMU-69239","Synthesis of DNA","17/280","115/8772",1.19075000265555e-07,7.84571946194155e-06,6.39244738267715e-06,"Mcm4/Cdc6/Mcm7/Mcm3/Ccne2/Mcm5/Psmb10/Lig1/Pole2/Pole/Gins2/Mcm2/Mcm6/Prim2/Cdk2/Rpa1/Psmb8",17
"R-MMU-69278","Cell Cycle, Mitotic","39/280","499/8772",1.50826446896407e-07,8.94400830095695e-06,7.28729885531063e-06,"Mcm4/Cdc6/Jak2/Mcm7/Mcm3/Ccne2/Mcm5/Psmb10/Ncapg2/Lig1/Lpin1/Pole2/Cenpn/Esco2/Pole/Gmnn/H2ac11/Rb1/Gins2/Mcm2/H2afv/Mcm6/Prim2/Cdk2/Cdkn1a/H4f16/Pkmyt1/Ncapd3/Rpa1/Tubgcp2/Wee1/Haus4/E2f1/Haus1/Haus5/Cenpm/Psmb8/Dsn1/Rbl2",39
