"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210869","Tcea1","21399","transcription elongation factor A (SII) 1",0.441562420893828,10.0297979471266,3.5136557014471,0.00350881359027605,0.00698150189948317,-3.1248800833593
"2","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",0.47392461903895,8.78839180093164,4.96832511783159,0.000215212126086779,0.000643684482611547,-0.274180456948781
"3","17210953","St18","240690","suppression of tumorigenicity 18",1.08425493107625,5.60732509755752,9.59957232839468,1.74609067436e-07,1.68995625688058e-06,7.16623143126127
"4","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.874447918499381,7.6599951349548,-7.69000745459792,2.36662824005724e-06,1.42497183780733e-05,4.42940243006586
"5","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.671884883544975,8.11911375613117,6.88603172732474,8.08113200176099e-06,3.91382876495959e-05,3.14262139214356
"6","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",1.75839081836354,7.52108054157943,12.9128834571324,4.30093212935796e-09,8.33879753624062e-08,11.0510681124372
"7","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",0.833219405169409,9.24909421028783,8.79542233117773,4.98078621044945e-07,3.91342160556418e-06,6.06525158489186
"8","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-1.64492034039354,6.63677000709289,-11.6061458827515,1.66885616314003e-08,2.50579380285011e-07,9.6307724774223
"9","17211286","Ly96","17087","lymphocyte antigen 96",-0.157190025551159,9.94950079857855,-1.31490561288339,0.209972540733121,0.26747724676422,-6.97161972531182
"10","17211396","Tmem14a","75712","transmembrane protein 14A",-0.356242423230245,4.43028375467425,-3.64828120181403,0.00269104067831623,0.00558628714615127,-2.85767177642415
"11","17211416","Khdc1a","368204","KH domain containing 1A",0.243194848972795,4.74171553467185,1.58174444352189,0.136347999262845,0.182416450108017,-6.61278881092589
"12","17211443","Mir30c-2","723964","microRNA 30c-2",-0.216014869096324,4.32238737531866,-1.41205221287808,0.180084040670045,0.233171274617298,-6.84665870034612
"13","17211498","Lmbrd1","68421","LMBR1 domain containing 1",0.515655324556795,9.64739695484126,5.29420573316368,0.000118920443051995,0.000389105611318678,0.339801935727517
"14","17211587","Dst","13518","dystonin",0.72042145618622,7.36189553335624,5.28477515839968,0.000120955515588336,0.000393828529287893,0.322210699070957
"15","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",1.28256701668091,7.07845211070512,7.5825539342658,2.77540766006959e-06,1.6221919308758e-05,4.26230765383579
"16","17211822","Cnnm4","94220","cyclin M4",-0.360156092942884,7.04870648687343,-4.17752342763751,0.000958047158537712,0.00227133380561909,-1.80890197227737
"17","17211832","Cnnm3","94218","cyclin M3",-0.475015010184932,6.15143943322118,-4.07830095980606,0.00116083766932824,0.00269244230621195,-2.004802366513
"18","17211939","Inpp4a","269180","inositol polyphosphate-4-phosphatase, type I",0.0604131165182462,7.02447381485022,0.614554089121379,0.548847715987935,0.610952557875088,-7.6442166758615
"19","17211984","4930556I23Rik","102637491","RIKEN cDNA 4930556I23 gene",-0.0669572162493668,3.81863307811995,-0.569457120205445,0.578197552478807,0.639228923583785,-7.6720955791591
"20","17211998","Mrpl30","107734","mitochondrial ribosomal protein L30",0.551773781882991,6.20683484553036,4.2771830040646,0.0007907376475231,0.00193596618157372,-1.61270217335376
"21","17212045","Gm5099","329123","predicted gene 5099",0.189434311324339,4.77472523699108,1.22744880461911,0.240179853279391,0.299961955596588,-7.07816043477479
"22","17212080","Pdcl3","68833","phosducin-like 3",0.14302252106738,9.19421361475461,1.04969365122318,0.311893786599296,0.376269769536122,-7.27615560553144
"23","17212174","Il1r2","16178","interleukin 1 receptor, type II",-0.364662387456225,6.17549339471723,-2.30088481997905,0.0375320850279204,0.057507601381655,-5.44512806608853
"24","17212211","Il1rl1","17082","interleukin 1 receptor-like 1",-2.36660357238225,5.31098056663541,-20.3809847063405,1.07081610114469e-11,9.16465608851123e-10,17.2644420711862
"25","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",-2.47941393891668,5.45768685838882,-18.0241510905313,5.51102520311509e-11,3.00150472653296e-09,15.5818964857329
"26","17212269","Slc9a4","110895","solute carrier family 9 (sodium/hydrogen exchanger), member 4",-0.264345032765209,7.24565511742446,-2.68608394128038,0.0179099455721739,0.0295588109980424,-4.73729772730568
"27","17212318","Mrps9","69527","mitochondrial ribosomal protein S9",-0.111653235740295,7.61295420855201,-0.749974589118273,0.465863803202343,0.530423710530403,-7.54854130258225
"28","17212346","AI597479","98404","expressed sequence AI597479",-0.0865383724132869,6.64547983437556,-0.761619061321175,0.459105315165155,0.52420429638926,-7.53949213795323
"29","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",-0.337523327184601,6.91560908147956,-3.55553090811611,0.00323059991767259,0.00649698694420157,-3.04180431210678
"30","17212518","Wdr75","73674","WD repeat domain 75",0.292355120555468,9.34218626432506,1.95109838279138,0.0716474455690004,0.102468332872734,-6.04402595983601
"31","17212750","Stat1","20846","signal transducer and activator of transcription 1",1.98909194685756,10.6177121327812,16.5353681147705,1.72386183243263e-10,7.22213722944329e-09,14.4027040434678
"32","17212778","Nemp2","227094","nuclear envelope integral membrane protein 2",-0.702273336502181,5.44556152499627,-6.86962096125738,8.2935778176183e-06,3.9973310301972e-05,3.1154634802869
"33","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",-0.650733744286237,7.01631985435609,-6.11644028803427,2.83850097293932e-05,0.000114130599522681,1.82985293976749
"34","17212828","Osgepl1","72085","O-sialoglycoprotein endopeptidase-like 1",-0.455933188117906,6.2242876813418,-3.98964541244941,0.0013790673378565,0.00312008777231809,-2.18023267741934
"35","17212874","Coq10b","67876","coenzyme Q10B",0.944176581396341,7.40785381080658,6.73957641499835,1.02000608107144e-05,4.73962768781085e-05,2.89897283213298
"36","17212888","Mob4","19070","MOB family member 4, phocein",0.292442525252389,8.37389000503545,1.61217965195514,0.129548178661402,0.174213948004592,-6.56887220623902
"37","17212904","Mars2","212679","methionine-tRNA synthetase 2 (mitochondrial)",-0.312601065254457,5.74119962400228,-2.94725055975833,0.0107383874892608,0.0187288732017938,-4.23774057884103
"38","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",-0.460165645970852,6.28176702389448,-2.91117236015062,0.0115281465656085,0.0199841221280558,-4.30745717316178
"39","17212935","Maip1","68115","matrix AAA peptidase interacting protein 1",0.518728574075099,7.48764357496104,3.45178640549639,0.00396468948515382,0.0077495773916987,-3.24752225316483
"40","17212947","Spats2l","67198","spermatogenesis associated, serine-rich 2-like",0.768435736519784,5.49348777558942,8.41376850337012,8.39429567468779e-07,6.07369871824331e-06,5.51714324428907
"41","17212970","Sgo2a","68549","shugoshin 2A",-0.508225005724123,6.3130768424435,-4.6785707004686,0.000368863334950026,0.00101369735765395,-0.82995269623496
"42","17213179","Ndufb3","66495","NADH:ubiquinone oxidoreductase subunit B3",-0.588100452223747,6.40897667841208,-4.25162207309437,0.000830561556722571,0.00202189934430107,-1.66296489762795
"43","17213185","Cbx3","12417","chromobox 3",-0.602231983654065,9.15489519965561,-4.16791778662164,0.000975983496939221,0.00230928796609908,-1.82784396617514
"44","17213189","Gm20257","100504501","caspase 8 pseudogene",-0.306661676999514,4.39772076052226,-1.9353595201205,0.0737068048735667,0.105037456707312,-6.06973018819851
"45","17213192","Cflar","12633","CASP8 and FADD-like apoptosis regulator",1.2135794717802,9.47446195986631,11.228510101727,2.52861433229261e-08,3.50669640388079e-07,9.1949393767839
"46","17213213","Casp8","12370","caspase 8",0.366816244129668,10.8894863300509,3.99513606587545,0.00136440728049272,0.00309159002172159,-2.16935858130127
