"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210869","Tcea1","21399","transcription elongation factor A (SII) 1",0.186394062672443,10.0297979471266,1.48319813923294,0.160496242233359,0.26495811166163,-6.52910792015576
"2","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",0.439044897671735,8.78839180093164,4.60266824159014,0.000425491756349908,0.00193997040509308,-0.763681146230139
"3","17210953","St18","240690","suppression of tumorigenicity 18",1.34845053284267,5.60732509755752,11.9386576443204,1.1681325326607e-08,5.02084674462669e-07,10.1641340437835
"4","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.776125597418316,7.6599951349548,-6.82534831816326,8.89658623628585e-06,8.72331393479354e-05,3.24383335894433
"5","17211000","Rrs1","59014","ribosome biogenesis regulator 1",1.08448506939465,8.11911375613117,11.1146995245081,2.87239436392165e-08,9.94995540850994e-07,9.22889521613094
"6","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",1.68957962933876,7.52108054157943,12.4075629930216,7.16205399164554e-09,3.48844434666247e-07,10.6716719709767
"7","17211043","Sgk3","170755","serum/glucocorticoid regulated kinase 3",0.260407795872291,9.24909421028783,2.74885165758021,0.015846481332287,0.0392460808853788,-4.3990097821772
"8","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-1.32498708001702,6.63677000709289,-9.3487769381946,2.40383924580544e-07,5.20935966298107e-06,7.01406867417097
"9","17211286","Ly96","17087","lymphocyte antigen 96",0.0017843497799781,9.94950079857855,0.0149262113344261,0.988304680407591,0.992782382189235,-7.62076424208516
"10","17211396","Tmem14a","75712","transmembrane protein 14A",-0.204102925026066,4.43028375467425,-2.09021951359957,0.0556029476051973,0.110048648530802,-5.59102436535492
"11","17211416","Khdc1a","368204","KH domain containing 1A",0.038625732642366,4.74171553467185,0.251222582394659,0.805343956133541,0.869492816939277,-7.58719732261383
"12","17211443","Mir30c-2","723964","microRNA 30c-2",-0.232729976709879,4.32238737531866,-1.52131600936095,0.150758132705623,0.251968446988527,-6.47647231093344
"13","17211498","Lmbrd1","68421","LMBR1 domain containing 1",0.309933424277784,9.64739695484126,3.1820699478296,0.00675671717260997,0.0191301949816192,-3.56154284090718
"14","17211587","Dst","13518","dystonin",0.545129572878139,7.36189553335624,3.9988914823641,0.00135447201435959,0.00501213208031395,-1.94633719658614
"15","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.481136181278255,7.07845211070512,2.8444837554845,0.0131411653958111,0.0335730157297672,-4.21661774995406
"16","17211822","Cnnm4","94220","cyclin M4",-0.101745268431388,7.04870648687343,-1.18016396460298,0.257877403282914,0.38127925051035,-6.91111640755716
"17","17211832","Cnnm3","94218","cyclin M3",-0.413144392972137,6.15143943322118,-3.54710301415694,0.00328474621425158,0.0104461146005448,-2.8414019301885
"18","17211939","Inpp4a","269180","inositol polyphosphate-4-phosphatase, type I",-0.200729140370886,7.02447381485022,-2.04192270040381,0.0607546713210003,0.118522056621333,-5.67250520479722
"19","17211984","4930556I23Rik","102637491","RIKEN cDNA 4930556I23 gene",-0.0627571626660628,3.81863307811995,-0.53373654291398,0.602015059225246,0.713486096897814,-7.4700401060217
"20","17211998","Mrpl30","107734","mitochondrial ribosomal protein L30",0.0387832801665304,6.20683484553036,0.300636224874738,0.768173172409833,0.84349807109738,-7.57268998248768
"21","17212045","Gm5099","329123","predicted gene 5099",0.179220034403489,4.77472523699108,1.16126490208901,0.265226170602923,0.38976851224338,-6.93264542702398
"22","17212080","Pdcl3","68833","phosducin-like 3",0.192067015075924,9.19421361475461,1.40964880796363,0.180778877506888,0.289898888035723,-6.62790549547923
"23","17212174","Il1r2","16178","interleukin 1 receptor, type II",-0.493235083385479,6.17549339471723,-3.11213098767687,0.00775787930413711,0.0215273065822536,-3.69841318997732
"24","17212211","Il1rl1","17082","interleukin 1 receptor-like 1",-1.62121855682612,5.31098056663541,-13.961793600712,1.5728313381594e-09,1.08308420079459e-07,12.2390839063675
"25","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",-1.9417154187235,5.45768685838882,-14.1153405377635,1.36504331566594e-09,9.85298133030679e-08,12.3851107441911
"26","17212269","Slc9a4","110895","solute carrier family 9 (sodium/hydrogen exchanger), member 4",0.24867382073882,7.24565511742446,2.52684436516975,0.0243827847414866,0.0560542069786056,-4.8149341620621
"27","17212318","Mrps9","69527","mitochondrial ribosomal protein S9",-0.0494801945544898,7.61295420855201,-0.33235838025161,0.744612816814113,0.82694319186568,-7.56202565255734
"28","17212346","AI597479","98404","expressed sequence AI597479",0.114728242305768,6.64547983437556,1.00971642723582,0.330007249253926,0.458717733243682,-7.09472085489325
"29","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",-0.154225518409062,6.91560908147956,-1.62463910893999,0.126849982517169,0.219450836055547,-6.32909888320077
"30","17212518","Wdr75","73674","WD repeat domain 75",0.493271728496939,9.34218626432506,3.29196105721872,0.00543740603949762,0.0160142181673149,-3.34559932155222
"31","17212750","Stat1","20846","signal transducer and activator of transcription 1",0.898897666373797,10.6177121327812,7.47255743229011,3.27201727623182e-06,4.081475346604e-05,4.28739316255706
"32","17212778","Nemp2","227094","nuclear envelope integral membrane protein 2",-0.531425572403154,5.44556152499627,-5.19839222390522,0.000141373060580611,0.000793648163347395,0.371183037605678
"33","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",-0.467416802650442,7.01631985435609,-4.39338975139697,0.000632961747730048,0.00268941406429129,-1.17067201598342
"34","17212828","Osgepl1","72085","O-sialoglycoprotein endopeptidase-like 1",-0.334806347093951,6.2242876813418,-2.92972444549682,0.011115146876768,0.0291298534290102,-4.05269651779002
"35","17212874","Coq10b","67876","coenzyme Q10B",0.978901710157163,7.40785381080658,6.98744600148831,6.88929572692598e-06,7.21569417832405e-05,3.51046208914793
"36","17212888","Mob4","19070","MOB family member 4, phocein",0.295322067239336,8.37389000503545,1.62805401562472,0.126118991073093,0.218688357246941,-6.32411459762507
"37","17212904","Mars2","212679","methionine-tRNA synthetase 2 (mitochondrial)",-0.0512843375894967,5.74119962400228,-0.483516563017613,0.636310326929145,0.741617451439137,-7.49686442634424
"38","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",-0.319157396581175,6.28176702389448,-2.01910377187001,0.0633384965486339,0.122723458222143,-5.71064920565514
"39","17212935","Maip1","68115","matrix AAA peptidase interacting protein 1",0.341932620528896,7.48764357496104,2.27532939214281,0.0393853231828032,0.083436163786483,-5.27001783960009
"40","17212947","Spats2l","67198","spermatogenesis associated, serine-rich 2-like",0.254450430960517,5.49348777558942,2.7860326113678,0.0147354947987008,0.0369993081890261,-4.32830136271778
"41","17212970","Sgo2a","68549","shugoshin 2A",-0.359550357432514,6.3130768424435,-3.30991538920834,0.00524778273947296,0.0155486975233346,-3.31023062752397
"42","17213179","Ndufb3","66495","NADH:ubiquinone oxidoreductase subunit B3",-0.296814607035781,6.40897667841208,-2.14579589272283,0.0501761736356021,0.101443158893553,-5.49605161917494
"43","17213185","Cbx3","12417","chromobox 3",-0.315291186035344,9.15489519965561,-2.18206235787801,0.0469050029336791,0.0961697031402024,-5.4334079365499
"44","17213189","Gm20257","100504501","caspase 8 pseudogene",-0.103726581485784,4.39772076052226,-0.654624434759042,0.523470319708319,0.644097491347821,-7.39512780721319
"45","17213192","Cflar","12633","CASP8 and FADD-like apoptosis regulator",0.760590534540373,9.47446195986631,7.03727996308041,6.37294984818837e-06,6.78074230889145e-05,3.59172006756359
"46","17213213","Casp8","12370","caspase 8",0.10379497370419,10.8894863300509,1.13047077259648,0.277541990844784,0.403973291338946,-6.96711109944285
"47","17213226","Stradb","227154","STE20-related kinase adaptor beta",-0.532846500972019,5.64974912633733,-6.01389118513992,3.37651369446089e-05,0.000250338791268439,1.85536668815297
